build_height_mm,residence_time_s
0,4
2,6
4,9
6,13
8,21
10,34
12,33
14,39
16,50
18,56
20,89
22,101
24,105
26,113
28,132
30,112
32,150
34,127
36,147
38,149
40,159
42,167
44,179
46,181
48,178
50,112
52,110
54,118
56,124
58,119
60,94
62,89
64,123
66,123
68,140
70,119
72,86
74,137
76,136
78,164
80,220
82,236
84,238
86,252
88,247
90,228
92,215
94,210
96,220
98,182.999999999993
100,236.999999999993
102,242.999999999993
104,193
106,240
108,227
110,222
112,219
114,223
116,229
118,217
120,178
122,129
124,75
126,21
128,11
130,1
